종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트,,
60310,3S,32902,특수 목적용 기계 제조업,44772143,22386071500,500,원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,1331,,
54620,APS홀딩스,116409,기타 금융업,20394221,10197110500,500,원(KRW),031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),1331,,
265520,AP시스템,32902,특수 목적용 기계 제조업,14099511,7049755500,500,원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,1331,,
211270,AP위성,32604,통신 및 방송 장비 제조업,15014804,7507402000,500,원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,1331,,
35760,CJ ENM,106002,텔레비전 방송업,21929154,110577370000,5000,원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,1331,,
51500,CJ프레시웨이,74603,음·식료품 및 담배 도매업,11871586,11871586000,1000,원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,1331,,
58820,CMG제약,32102,의약품 제조업,108892244,54446122000,500,원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),1331,,
23460,CNH,116402,신탁업 및 집합투자업,37200000,93000000000,2500,원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",1331,,
65770,CS,32604,통신 및 방송 장비 제조업,18835150,9417575000,500,원(KRW),031-622-3200,경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1),1331,,
83660,CSA 코스믹,32202,플라스틱제품 제조업,19747641,9873820500,500,원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,1331,,
306620,DB금융스팩6호,116601,금융 지원 서비스업,4840000,484000000,100,원(KRW),02-369-3972,서울특별시 영등포구 국제금융로8길 32 &nbsp,1331,,
68790,DMS,32902,특수 목적용 기계 제조업,23032487,11516243500,500,원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),1331,,
241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,17600000,8800000000,500,원(KRW),02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층,1331,,
245620,EDGC,137001,자연과학 및 공학 연구개발업,36172940,3617294000,100,원(KRW),327132140,"인천광역시 연수구 하모니로 291, 4층 &nbsp",1331,,
37370,EG,74607,기타 전문 도매업,7500000,7500000000,1000,원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 ,1331,,
79190,EMW,32604,통신 및 방송 장비 제조업,31784197,15892098500,500,원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",1331,,
130500,GH신소재,31309,기타 섬유제품 제조업,11000000,5500000000,500,원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54 ,1331,,
32860,GMR 머티리얼즈,53803,"해체, 선별 및 원료 재생업",67558840,33779420000,500,원(KRW),02-3452-8449,충청남도 아산시 인주면 인주산단로 65 ,1331,,
900290,GRT,116409,기타 금융업,67375000,770089223,0,중국위안(CNY),85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong ",1331,,
83450,GST,32902,특수 목적용 기계 제조업,9317745,4658872500,500,원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 ,1331,,
28150,GS홈쇼핑,106002,텔레비전 방송업,6562500,32812500000,5000,원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),1331,,
45890,GV,32804,전구 및 조명장치 제조업,26586229,13293114500,500,원(KRW),032-670-3000,경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주),1331,,
78150,HB테크놀러지,32902,특수 목적용 기계 제조업,78990426,39495213000,500,원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 ,1331,,
36640,HRS,32002,합성고무 및 플라스틱 물질 제조업,16354800,8177400000,500,원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 ,1331,,
299170,IBKS제10호스팩,116601,금융 지원 서비스업,4330000,433000000,100,원(KRW),02-6915-5350,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층 ,1331,,
254120,IBKS제5호스팩,116601,금융 지원 서비스업,4500000,450000000,100,원(KRW),02-6915-5361,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩) ",1331,,
264850,IBKS제6호스팩,116601,금융 지원 서비스업,4315000,431500000,100,원(KRW),02-6915-5357,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩) ",1331,,
276920,IBKS제7호스팩,116601,금융 지원 서비스업,3650000,365000000,100,원(KRW),02-6915-5333,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동) &nbsp",1331,,
297570,IBKS제9호스팩,116601,금융 지원 서비스업,2760000,276000000,100,원(KRW),,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층 ,1331,,
95340,ISC,32602,전자부품 제조업,13869854,6934927000,500,원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)",1331,,
99520,ITX엠투엠,32605,영상 및 음향기기 제조업,16466131,8233065500,500,원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호,1331,,
950170,JTC,74701,종합 소매업,35005517,0,0,일본엔(JPY),+81-92-260-8364,"6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan ",1331,,
67290,JW신약,32102,의약품 제조업,41667166,20833583000,500,원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477 ,1331,,
35900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,35442492,17915951500,500,원(KRW),02-2225-8100,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) ",1331,,
24840,KBI메탈,32402,1차 비철금속 제조업,32950848,16475424000,500,원(KRW),053 -615 -1161,대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장,1331,,
24120,KB오토시스,33003,자동차 신품 부품 제조업,11500000,5750000000,500,원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24 ,1331,,
21320,KCC건설,64101,건물 건설업,21400000,107000000000,5000,원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설 ,1331,,
36670,KCI,32004,기타 화학제품 제조업,11270000,5635000000,500,원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7 ,1331,,
44180,KD건설,64101,건물 건설업,391766520,39176652000,100,원(KRW),031-491-8577,경기도 안산시 단원구 광덕서로 102 406-3호,1331,,
151860,KG ETS,53802,폐기물 처리업,36000000,20051860000,500,원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주),1331,,
46440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,29906957,14953478500,500,원(KRW),(02)2192-2000,서울특별시 중구 통일로 92 케이지타워 16층,1331,,
