종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트,
95570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,46822295,46822295000,1000,원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",791,
68400,AJ렌터카,147601,운송장비 임대업,22146300,11073150000,500,원(KRW),1544-1600,서울특별시 구로구  서부샛길 822 ,791,
6840,AK홀딩스,116409,기타 금융업,13247561,66237805000,5000,원(KRW),02-768-2923,서울특별시 마포구 양화로 188 - ,791,
27410,BGF,116409,기타 금융업,95369179,95369179000,1000,,1577-3663,서울특별시 강남구 테헤란로 405 ,791,
282330,BGF리테일,74701,종합 소매업,17283906,17283906000,1000,원(KRW),1577-3663,서울특별시 강남구 테헤란로 405 BGF사옥,791,
138930,BNK금융지주,116409,기타 금융업,325935246,1629676230000,5000,원(KRW),051-620-3023,부산광역시 남구 문현금융로 30(문현동) ,791,
1460,BYC,31401,봉제의복 제조업,624615,4200000000,5000,원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,791,
1040,CJ,116409,기타 금융업,29176998,157914810000,5000,원(KRW),02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) ",791,
79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",21161313,10580656500,500,원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) ,791,
120,CJ대한통운,84903,도로 화물 운송업,22812344,114061720000,5000,원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,791,
11150,CJ씨푸드,31007,기타 식품 제조업,35930773,18065386500,500,원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),791,
97950,CJ제일제당,31007,기타 식품 제조업,15054186,81908095000,5000,원(KRW),726-8114,서울특별시 중구  동호로 330 ,791,
37560,CJ헬로,106002,텔레비전 방송업,77446865,193617162500,2500,원(KRW),02-1855-1000,"서울특별시 마포구 월드컵북로56길 19 6층(상암동, 드림타워) ",791,
590,CS홀딩스,116409,기타 금융업,1154482,5772410000,5000,원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),791,
12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",201173933,100586966500,500,원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,791,
16610,DB금융투자,116601,금융 지원 서비스업,42446389,212231945000,5000,원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,791,
5830,DB손해보험,116501,보험업,70800000,35400000000,500,원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 ,791,
